Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
Weekend,Weekend,Ashley Mehta,9/16/2022,546633.0,98636.0,276763604.0
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,1/11/2019,670319557.0,432616080.0,29055589.0
Tap In,Tap In,Saweetie,6/17/2020,243703179.0,134077658.0,2416911466.0
Vacation,Vacation,Dirty Heads,8/11/2017,253490559.0,157050046.0,4610799658.0
Una Vez,YHLQMDLG,Bad Bunny,2/29/2020,563826995.0,349516218.0,44061028.0
Slumber Party (feat. Princess Nokia),DEMIDEVIL,Ashnikko,6/10/2021,345069681.0,112087139.0,1652650346.0
CASE 143,MAXIDENT,Stray Kids,10/7/2022,195260412.0,188978133.0,1397216002.0
Give It To Me - Full Vocal Mix,Give It to Me (Full Vocal Mix) - Single,Matt Sassari,10/22/2021,476476352.0,780251.0,12295262.0
Slow Dancing,Layover - EP,V,9/8/2023,371463000.0,55364757.0,4288273.0
F**kin' Problems,F**kin' Problems,A$AP Rocky,10/24/2012,803286487.0,376403733.0,49465552.0
Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),Russ,7/22/2022,65786757.0,27754329.0,203863372.0
Vamos Para Arriba,Vamos Para Arriba,Junior H,6/3/2022,223422665.0,236583955.0,60653564.0
Best Day Of My Life,American Authors - EP,American Authors,1/1/2013,999525686.0,349753696.0,329470084.0
One Man Band,Old Dominion,Old Dominion,1/18/2019,439281048.0,225336788.0,60781778.0
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Garmi (From ""Street Dancer 3D"")",Badshah,12/26/2019,129283318.0,835213852.0,71482445.0
Vai Novinha Ah Ah Ah,Ritmo dos Crias,Dyamante DJ,5/25/2023,110960415.0,24459499.0,2161832887.0
Saiyan,Saiyan,Heuss L'enfoirï¿,6/2/2023,107498014.0,72443764.0,3247.0
Heart Attack,Demi,Demi Lovato,1/1/2013,826593536.0,898024937.0,792708732.0
Parï¿½,Parï¿½,Ingratax,7/9/2021,526025120.0,160959114.0,2209200556.0
Beer Never Broke My Heart,Beer Never Broke My Heart,Luke Combs,5/8/2019,553360461.0,147127840.0,145930628.0
WUSYANAME,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,331749982.0,38053954.0,93000.0
Heartbroken (feat. Jessie Murph & Polo G),Heartbroken (feat. Jessie Murph & Polo G),Diplo,7/21/2023,90619651.0,22682156.0,17165352.0
Snow On The Beach (feat. Lana Del Rey),Midnights,Taylor Swift,10/21/2022,429910250.0,60531630.0,380293826.0
